,Survey_Number,Survey_ID,Survey_Name,Var_Name,Var_Text,Data_Link
0,1,OLSAnimal1,Public Attitudes towards Animal Research 2016-1,ID,Respondent serial,http://bit.ly/2F7fNuv
1,1,OLSAnimal1,Public Attitudes towards Animal Research 2016-1,Q1,How well informed do you feel about the use of animals in scientific research in the UK?,http://bit.ly/2F7fNuv
2,1,OLSAnimal1,Public Attitudes towards Animal Research 2016-1,Q2a,Interested in finding out more about the ongoing work to find alternatives to using animals in research?,http://bit.ly/2F7fNuv
3,1,OLSAnimal1,Public Attitudes towards Animal Research 2016-1,Q2b,Interested in finding out more about the ongoing work to improve the welfare of animals in scientific research?,http://bit.ly/2F7fNuv
4,1,OLSAnimal1,Public Attitudes towards Animal Research 2016-1,Q3a,I can accept the use if animals in research as long as it is for medical research purposes and there is no alternative,http://bit.ly/2F7fNuv
5,1,OLSAnimal1,Public Attitudes towards Animal Research 2016-1,Q3b,There needs to be more work done into alternatives to using animals in scientific research,http://bit.ly/2F7fNuv
6,1,OLSAnimal1,Public Attitudes towards Animal Research 2016-1,Q3c,I can accept the use of animals in scientific research as long as there is no unnecessary suffering to the animals,http://bit.ly/2F7fNuv
7,1,OLSAnimal1,Public Attitudes towards Animal Research 2016-1,Q3d,Animals should not be used in any scientific research because of the importance I place on animal welfare,http://bit.ly/2F7fNuv
8,1,OLSAnimal1,Public Attitudes towards Animal Research 2016-1,Q3e,It does not bother me if animals are used in scientific research,http://bit.ly/2F7fNuv
9,1,OLSAnimal1,Public Attitudes towards Animal Research 2016-1,Q3f,The use of animals for medical research should only be conducted for life,http://bit.ly/2F7fNuv
10,1,OLSAnimal1,Public Attitudes towards Animal Research 2016-1,Q3g,The UK government should ban the use of animals for any form of research,http://bit.ly/2F7fNuv
11,1,OLSAnimal1,Public Attitudes towards Animal Research 2016-1,Q3h,"Acceptable to use animals in research to help our understanding of the human body, where there is no alternative",http://bit.ly/2F7fNuv
12,1,OLSAnimal1,Public Attitudes towards Animal Research 2016-1,Q3i,"Acceptable to use animals in research to help our understanding of animal health, where there is no alternative",http://bit.ly/2F7fNuv
13,1,OLSAnimal1,Public Attitudes towards Animal Research 2016-1,Q3j,Acceptable to use animals for all types of research where there is no  alternative,http://bit.ly/2F7fNuv
14,1,OLSAnimal1,Public Attitudes towards Animal Research 2016-1,Q3k,Acceptable to use animals in scientific research to test chemicals that could harm people,http://bit.ly/2F7fNuv
15,1,OLSAnimal1,Public Attitudes towards Animal Research 2016-1,Q3l,"Acceptable to use animals in scientific research to test chemicals that could harm pets, farm animals or wildlife",http://bit.ly/2F7fNuv
16,1,OLSAnimal1,Public Attitudes towards Animal Research 2016-1,Q3m,Acceptable to use animals in scientific research to test chemicals that could harm plants or the environment,http://bit.ly/2F7fNuv
17,1,OLSAnimal1,Public Attitudes towards Animal Research 2016-1,Q4_1,Which of these is true?: The use of animals for medical research purposes is important to human health,http://bit.ly/2F7fNuv
18,1,OLSAnimal1,Public Attitudes towards Animal Research 2016-1,Q4_2,Which of these is true?: Scientists could do more to reduce the suffering of animals used in scientific research,http://bit.ly/2F7fNuv
19,1,OLSAnimal1,Public Attitudes towards Animal Research 2016-1,Q4_3,Which of these is true?: Scientific research using animals is not always carried out to high standards,http://bit.ly/2F7fNuv
20,1,OLSAnimal1,Public Attitudes towards Animal Research 2016-1,Q4_4,Which of these is true?: Scientific research is carried out on animals only  when there is no alternative,http://bit.ly/2F7fNuv
21,1,OLSAnimal1,Public Attitudes towards Animal Research 2016-1,Q4_5,Which of these is true?: Researchers are working to find alternatives to using animals in scientific research,http://bit.ly/2F7fNuv
22,1,OLSAnimal1,Public Attitudes towards Animal Research 2016-1,Q4_6,Which of these is true?: Don,http://bit.ly/2F7fNuv
23,1,OLSAnimal1,Public Attitudes towards Animal Research 2016-1,Q4_7,Which of these is true?: None of these,http://bit.ly/2F7fNuv
24,1,OLSAnimal1,Public Attitudes towards Animal Research 2016-1,Q5a,I do not trust the regulatory system around the use of animals in scientific research,http://bit.ly/2F7fNuv
25,1,OLSAnimal1,Public Attitudes towards Animal Research 2016-1,Q5b,I trust scientists not to cause unnecessary suffering to the animals used in scientific research ,http://bit.ly/2F7fNuv
26,1,OLSAnimal1,Public Attitudes towards Animal Research 2016-1,Q5c,I feel that unnecessary duplication of scientific research involving animals MIGHT go on,http://bit.ly/2F7fNuv
27,1,OLSAnimal1,Public Attitudes towards Animal Research 2016-1,Q5d,Scientific research involving animals sometimes goes on without an official licence,http://bit.ly/2F7fNuv
